Country,Year,Gas production,Gas consumption,Gas imports,Gas exports,Gas reserves,Coal production,Coal consumption,Coal imports,Coal exports,Coal reserves,Oil production,Oil consumption,Oil imports,Oil exports,Oil reserves,Gas production per capita,Gas consumption per capita,Gas imports per capita,Gas exports per capita,Gas reserves per capita,Coal production per capita,Coal consumption per capita,Coal imports per capita,Coal exports per capita,Coal reserves per capita,Oil production per capita,Oil consumption per capita,Oil imports per capita,Oil exports per capita,Oil reserves per capita,Population,Gas net imports,Coal net imports,Oil net imports,Gas net imports per capita,Coal net imports per capita,Oil net imports per capita
Japan,2020,1929000000,1.01079E+11,1.04247E+11,47140,20900000000,789900,184200000,173700000,2640,350000,252300,193100000,140500000,0,7014000,15.25,799.0434783,824.0869565,0.000372648,165.2,0.006245,1.457,1.373,0.00002087,0.002766798,0.001995,1.527,1.111,0,0.05546,126500000,1.04247E+11,173700000,140500000,824.0865839,1.373,1.111
India,2016,30920000000,55280000000,24430000000,71640000,1.252E+12,627000000,790900000,196900000,923800,97730000,42650000,245800000,247800000,0,751900000,23.35,41.74,18.45,0.05409,945.2,0.4734,0.5971,0.1487,0.0006975,0.07379,0.0322,0.1856,0.1871,0,0.5677,1325000000,24360000000,196000000,247800000,18.39,0.148,0.1871
India,2017,31540000000,56630000000,25160000000,75950000,1.228E+12,651600000,836900000,199100000,1047000,100900000,42620000,263100000,256000000,0,734900000,23.56,42.3,18.8,0.05673,917,0.4867,0.6252,0.1487,0.0007821,0.07535,0.03184,0.1966,0.1912,0,0.549,1339000000,25090000000,198000000,256000000,18.74,0.1479,0.1912
India,2018,31860000000,60830000000,29000000000,35820000,1.29E+12,694400000,894800000,224200000,1016000,105900000,41190000,276700000,263100000,0,714600000,23.56,44.97,21.44,0.02648,953.6,0.5134,0.6616,0.1657,0.0007511,0.07832,0.03045,0.2046,0.1945,0,0.5283,1353000000,28970000000,223200000,263100000,21.41,0.165,0.1945
India,2019,31320000000,62340000000,31110000000,91930000,1.34E+12,692100000,887700000,241700000,885600,105900000,38760000,285700000,270993000,0,703300000,22.92,45.62,22.77,0.06728,980.5,0.5065,0.6496,0.1769,0.0006481,0.07753,0.02837,0.2091,0.198384334,0,0.5147,1366000000,31020000000,240800000,270993000,22.7,0.1763,0.198384334
India,2020,27740000000,61650000000,33920000000,93768600,1.34E+12,700400000,838700000,216600000,944100,105900000,36430000,194300000,279122790,0,703300000,20.1,44.68,24.58,0.067948261,970.8,0.5075,0.6077,0.157,0.0006841,0.07673913,0.0264,0.140797101,0.202262891,0,0.5096,1380000000,33826231400,215700000,279122790,24.51176188,0.1563,0.202262891
South Africa,2016,971100000,4986000000,4014000000,0,0,255800000,181300000,1848000,76150000,31800000,116100,36350000,24110000,523800,2385000,17.28,88.7,71.42,0,0,4.551,3.225,0.03288,1.355,0.5658,0.002066,0.6467,0.429,0.00932,0.04243,56210000,4014000000,-74300000,23590000,71.42,-1.322,0.4197
South Africa,2017,909100000,5074000000,4164000000,0,0,257100000,181300000,2446000,83780000,31500000,107700,38270000,19900000,525300,2385000,15.95,89,73.05,0,0,4.51,3.181,0.04291,1.47,0.5525,0.001889,0.6713,0.3491,0.009214,0.04183,57010000,4164000000,-81330000,19380000,73.05,-1.427,0.3399
South Africa,2018,1080000000,4780000000,3700000000,0,0,255400000,171500000,3008000,80310000,9893000,88050,39140000,23090000,525300,2385000,18.69,82.71,64.02,0,0,4.42,2.968,0.05204,1.39,0.1712,0.001524,0.6772,0.3996,0.009089,0.04127,57790000,3700000000,-77300000,22570000,64.02,-1.338,0.3905
South Africa,2019,1230000000,4772000000,3542000000,0,0,257900000,189600000,3429000,78670000,9893000,72020,32210000,23782700,530553,2385000,21,81.49,60.49,0,0,4.403,3.238,0.05856,1.343,0.1689,0.00123,0.5501,0.406125342,0.00905999,0.04073,58560000,3542000000,-75240000,23252147,60.49,-1.285,0.397065352
